Energy_keV,InputSpectrum,DetectedSpectrum,GaussianFit
2.090000000000001634e+01,0.000000000000000000e+00,6.090000000000000000e+02,6.428673505977358218e+02
2.100000000000001776e+01,1.000000000000000000e+04,6.070000000000000000e+02,6.453958978939484723e+02
2.110000000000001563e+01,0.000000000000000000e+00,6.790000000000000000e+02,6.436887569168484333e+02
2.120000000000001705e+01,0.000000000000000000e+00,6.980000000000000000e+02,6.377794742370195991e+02
2.130000000000001847e+01,0.000000000000000000e+00,6.470000000000000000e+02,6.277837134228516334e+02
2.140000000000001634e+01,0.000000000000000000e+00,6.180000000000000000e+02,6.138954900975738838e+02
2.150000000000001776e+01,0.000000000000000000e+00,6.240000000000000000e+02,5.963809095443133401e+02
2.160000000000001563e+01,0.000000000000000000e+00,5.930000000000000000e+02,5.755696892219185656e+02
2.170000000000001705e+01,0.000000000000000000e+00,5.520000000000000000e+02,5.518448433856073052e+02
2.180000000000001847e+01,0.000000000000000000e+00,5.390000000000000000e+02,5.256309803119465869e+02
2.190000000000001634e+01,0.000000000000000000e+00,4.990000000000000000e+02,4.973817107116111060e+02
2.200000000000001776e+01,0.000000000000000000e+00,4.790000000000000000e+02,4.675666868010951589e+02
2.210000000000001918e+01,0.000000000000000000e+00,4.480000000000000000e+02,4.366587850263699693e+02
2.220000000000001705e+01,0.000000000000000000e+00,3.940000000000000000e+02,4.051219131665666282e+02
2.230000000000001847e+01,0.000000000000000000e+00,3.620000000000000000e+02,3.733998676347736136e+02
2.240000000000001990e+01,0.000000000000000000e+00,3.240000000000000000e+02,3.419065936406998958e+02
2.250000000000001776e+01,0.000000000000000000e+00,2.790000000000000000e+02,3.110181147782345761e+02
2.260000000000001918e+01,0.000000000000000000e+00,2.590000000000000000e+02,2.810663053075642779e+02
2.270000000000001705e+01,0.000000000000000000e+00,2.470000000000000000e+02,2.523345837107752629e+02
2.280000000000001847e+01,0.000000000000000000e+00,2.240000000000000000e+02,2.250555154420544568e+02
2.290000000000001990e+01,0.000000000000000000e+00,2.040000000000000000e+02,1.994102308925502030e+02
2.300000000000001776e+01,0.000000000000000000e+00,1.690000000000000000e+02,1.755294952015238152e+02
2.310000000000001918e+01,0.000000000000000000e+00,1.500000000000000000e+02,1.534962122924198695e+02
2.320000000000001705e+01,0.000000000000000000e+00,1.450000000000000000e+02,1.333491078179025067e+02
2.330000000000001847e+01,0.000000000000000000e+00,1.030000000000000000e+02,1.150873148146552296e+02
2.340000000000001990e+01,0.000000000000000000e+00,8.000000000000000000e+01,9.867558099169170305e+01
2.350000000000001776e+01,0.000000000000000000e+00,8.100000000000000000e+01,8.404982601865600600e+01
2.360000000000001918e+01,0.000000000000000000e+00,7.100000000000000000e+01,7.112279859630817214e+01
2.370000000000002061e+01,0.000000000000000000e+00,5.800000000000000000e+01,5.978961371336959729e+01
2.380000000000001847e+01,0.000000000000000000e+00,5.600000000000000000e+01,4.993298737593273984e+01
2.390000000000001990e+01,0.000000000000000000e+00,5.800000000000000000e+01,4.142802633227985609e+01
2.400000000000002132e+01,0.000000000000000000e+00,3.900000000000000000e+01,3.414647122864645468e+01
2.410000000000001918e+01,0.000000000000000000e+00,3.200000000000000000e+01,2.796033091112103719e+01
2.420000000000002061e+01,0.000000000000000000e+00,2.300000000000000000e+01,2.274488138999736364e+01
2.430000000000001847e+01,0.000000000000000000e+00,1.400000000000000000e+01,1.838103396964926617e+01
2.440000000000001990e+01,0.000000000000000000e+00,1.900000000000000000e+01,1.475710239553604275e+01
2.450000000000002132e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.177001823389243462e+01
2.460000000000001918e+01,0.000000000000000000e+00,5.000000000000000000e+00,9.326057147752194965e+00
2.470000000000002061e+01,0.000000000000000000e+00,8.000000000000000000e+00,7.341146668832507771e+00
2.480000000000001847e+01,0.000000000000000000e+00,7.000000000000000000e+00,5.740829137828540318e+00
2.490000000000001990e+01,0.000000000000000000e+00,6.000000000000000000e+00,4.459952501740243491e+00
2.500000000000002132e+01,0.000000000000000000e+00,5.000000000000000000e+00,3.442157495668883183e+00
2.510000000000001918e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.639223280316098208e+00
2.520000000000002061e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.010325683328646473e+00
2.530000000000002203e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.521253535689152558e+00
2.540000000000001990e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.143619816010629231e+00
2.550000000000002132e+01,0.000000000000000000e+00,3.000000000000000000e+00,8.540958961602119759e-01
2.560000000000002274e+01,0.000000000000000000e+00,2.000000000000000000e+00,6.336894694175233544e-01
2.570000000000002061e+01,0.000000000000000000e+00,1.000000000000000000e+00,4.670799627999506765e-01
2.580000000000002203e+01,0.000000000000000000e+00,1.000000000000000000e+00,3.420195061735273878e-01
2.590000000000001990e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.488028816467471038e-01
2.600000000000002132e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.798062685433065300e-01
2.610000000000002274e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.290919444713418129e-01
2.620000000000002061e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.207428360184667648e-02
2.630000000000002203e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.524127596497378279e-02
2.640000000000001990e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.592524013453180148e-02
2.650000000000002132e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.211628604043122864e-02
2.660000000000002274e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.231228715164744469e-02
2.670000000000002061e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.539954026212339219e-02
2.680000000000002203e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.055884251700474515e-02
2.690000000000002345e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.192332578160300083e-03
2.700000000000002132e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.867075708113612238e-03
2.710000000000002274e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.271985227284013482e-03
2.720000000000002416e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.185241594580158639e-03
2.730000000000002203e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.449881386558732376e-03
2.740000000000002345e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.556753457235880097e-04
2.750000000000002132e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.257965751652162052e-04
2.760000000000002274e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.070997854982990141e-04
2.770000000000002416e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.630955223810790681e-04
2.780000000000002203e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.689160558009776558e-04
2.790000000000002345e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.077390890181372147e-04
2.800000000000002132e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.826853101292296839e-05
2.810000000000002274e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.297468564485539103e-05
2.820000000000002416e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.687507909211171131e-05
2.830000000000002203e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.669674003508950027e-05
2.840000000000002345e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.030524951291040463e-05
2.850000000000002487e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.318736272569599617e-06
2.860000000000002274e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.848990500351431182e-06
2.870000000000002416e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.329208363332612925e-06
2.880000000000002558e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.400279511135855683e-06
2.890000000000002345e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.363075538844421771e-07
2.900000000000002487e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.962062116889773281e-07
2.910000000000002274e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.924847758743029539e-07
